index,Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer provided,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree
33,Data Scientist,$93K-$149K (Glassdoor est.),3.8,"Juniper Networks
3.8","Sunnyvale, CA","Sunnyvale, CA",5001 - 10000 ,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1,0,0,93,149,121,Juniper Networks,CA,25,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,data scientist,na,M
34,Data Scientist,$85K-$140K (Glassdoor est.),4.7,"New England Biolabs
4.7","Ipswich, MA","Ipswich, MA",201 - 500 ,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",0,0,85,140,112.5,New England Biolabs,MA,47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
35,Web Data Analyst,$77K-$135K (Glassdoor est.),4.2,"Clarity Insights
4.2","San Jose, CA","Chicago, IL",201 - 500 ,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,77,135,106,Clarity Insights,CA,13,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,na,na
36,Data Scientist,$82K-$132K (Glassdoor est.),3.5,"Esri
3.5","Redlands, CA","Redlands, CA",1001 - 5000 ,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,0,0,82,132,107,Esri,CA,52,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,data scientist,na,M
37,Data Scientist,$83K-$137K (Glassdoor est.),4.7,"Systems & Technology Research
4.7","Woburn, MA","Woburn, MA",201 - 500 ,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,0,0,83,137,110,Systems & Technology Research,MA,11,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,data scientist,na,P
38,Senior Data Scientist,$115K-$180K (Glassdoor est.),3.5,"Sartorius
3.5","Fremont, CA","Gottingen, Germany",5001 - 10000 ,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,115,180,147.5,Sartorius,CA,151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M
39,Data Engineer,$74K-$138K (Glassdoor est.),3.5,"Lancer Insurance
3.5","Long Beach, NY","Long Beach, NY",201 - 500 ,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,0,0,74,138,106,Lancer Insurance,NY,36,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,M
40,Data Analyst,$64K-$112K (Glassdoor est.),4.2,"Sauce Labs
4.2","San Francisco, CA","San Francisco, CA",201 - 500 ,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"BrowserStack, Selenium Master, Perfecto Mobile",0,0,64,112,88,Sauce Labs,CA,13,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,analyst,na,na
41,Data Engineer,$68K-$129K (Glassdoor est.),3.6,"Persivia
3.6","Marlborough, MA","Lowell, MA",Jan-50,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,0,0,68,129,98.5,Persivia,MA,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,na
42,Data Scientist - Algorithms & Inference,$110K-$175K (Glassdoor est.),4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA",51 - 200 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,110,175,142.5,Nuna,CA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
43,Scientist,$52K-$113K (Glassdoor est.),3.4,"Edgewell Personal Care
3.4","Allendale, NJ","Shelton, CT",5001 - 10000 ,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Unilever, Procter & Gamble, Henkel",0,0,52,113,82.5,Edgewell Personal Care,NJ,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M
44,Senior Data Scientist,$110K-$150K(Employer est.),4.3,"Equity Residential
4.3","Chicago, IL","Chicago, IL",1001 - 5000 ,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",0,0,110,150,130,Equity Residential,IL,28,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,data scientist,sr,M
45,Data Scientist,Employer Provided Salary:$150K-$160K,5,"BPA Services
5.0","Washington, DC","Alexandria, VA",unknown,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,1,150,160,155,BPA Services,DC,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
46,Lead Data Scientist,$158K-$211K (Glassdoor est.),3.7,"Visa Inc.
3.7","Bellevue, WA","Foster City, CA",10000+ ,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",0,0,158,211,184.5,Visa Inc.,WA,63,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,data scientist,sr,na
47,Associate Data Analyst,$20K-$39K (Glassdoor est.),3.1,"Intrado
3.1","Longmont, CO","Omaha, NE",5001 - 10000 ,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1,0,0,20,39,29.5,Intrado,CO,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,M
48,Spectral Scientist/Engineer,$56K-$117K (Glassdoor est.),4.7,"Centauri
4.7","Beavercreek, OH","Chantilly, VA",501 - 1000 ,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton",0,0,56,117,86.5,Centauri,OH,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M
49,College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K (Glassdoor est.),3.7,"Caterpillar
3.7","Peoria, IL","Deerfield, IL",10000+ ,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",0,0,63,99,81,Caterpillar,IL,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
50,Data Scientist,$68K-$114K (Glassdoor est.),3.8,"Zimmerman Advertising
3.8","Fort Lauderdale, FL","Fort Lauderdale, FL",501 - 1000 ,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,68,114,91,Zimmerman Advertising,FL,37,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,na,na
51,"Data Scientist, Office of Data Science",$86K-$143K (Glassdoor est.),3.3,"Liberty Mutual Insurance
3.3","Boston, MA","Boston, MA",10000+ ,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",0,0,86,143,114.5,Liberty Mutual Insurance,MA,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
52,Data Science Analyst,$41K-$95K (Glassdoor est.),4.6,"Torch Technologies, Inc.
4.6","Huntsville, AL","Huntsville, AL",1001 - 5000 ,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,0,0,41,95,68,"Torch Technologies, Inc.",AL,19,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
53,Data Scientist,$86K-$144K (Glassdoor est.),3.7,"Swiss Re
3.7","Armonk, NY","Zurich, Switzerland",10000+ ,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",0,0,86,144,115,Swiss Re,NY,158,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
54,Data Scientist,$80K-$139K (Glassdoor est.),3.7,"Northrop Grumman
3.7","San Diego, CA","Falls Church, VA",10000+ ,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,80,139,109.5,Northrop Grumman,CA,82,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
55,Data Scientist,$56K-$95K (Glassdoor est.),3.5,"Sartorius
3.5","Albuquerque, NM","Gottingen, Germany",5001 - 10000 ,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,56,95,75.5,Sartorius,NM,151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
56,Data Scientist,$120K-$189K (Glassdoor est.),4.1,"Netskope
4.1","San Francisco, CA","Santa Clara, CA",501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",0,0,120,189,154.5,Netskope,CA,9,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,data scientist,na,P
57,Data Scientist,$111K-$176K (Glassdoor est.),4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO",51 - 200 ,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",0,0,111,176,143.5,1904labs,MO,5,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,data scientist,na,na
58,Data Scientist,$54K-$93K (Glassdoor est.),4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 - 1000 ,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,0,0,54,93,73.5,ClearOne Advantage,MD,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
59,Data Scientist,$71K-$119K (Glassdoor est.),3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 - 500 ,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71,119,95,CyrusOne,TX,21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,data scientist,na,na
60,Senior Data Scientist,$82K-$132K (Glassdoor est.),4.4,"The David J. Joseph Company
4.4","Cincinnati, OH","Cincinnati, OH",201 - 500 ,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,-1,0,0,82,132,107,The David J. Joseph Company,OH,136,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,data scientist,sr,M
61,Data Scientist,$84K-$146K (Glassdoor est.),4.3,"USEReady
4.3","New York, NY","New York, NY",201 - 500 ,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,0,0,84,146,115,USEReady,NY,10,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,na,na
62,Senior Risk Data Scientist,$107K-$172K (Glassdoor est.),3.8,"Bill.com
3.8","Palo Alto, CA","Palo Alto, CA",501 - 1000 ,2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),-1,0,0,107,172,139.5,Bill.com,CA,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M
63,Data Scientist in Artificial Intelligence Early Career,$49K-$85K (Glassdoor est.),3.8,"Pacific Northwest National Laboratory
3.8","Richland, WA","Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,49,85,67,Pacific Northwest National Laboratory,WA,56,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M
64,Data Scientist,$61K-$109K (Glassdoor est.),3.8,"DICK'S Sporting Goods - Corporate
3.8","Coraopolis, PA","Coraopolis, PA",10000+ ,1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),"REI, Academy Sports + Outdoors, Cabela's",0,0,61,109,85,DICK'S Sporting Goods - Corporate,PA,73,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M
65,Data Scientist,$88K-$148K (Glassdoor est.),2.8,"Berg Health
2.8","Framingham, MA","Framingham, MA",51 - 200 ,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,0,0,88,148,118,Berg Health,MA,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,P
66,Data Scientist,$60K-$99K (Glassdoor est.),4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA",51 - 200 ,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,0,0,60,99,79.5,Oversight Systems,GA,18,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,data scientist,na,na
67,Data Scientist - Research,$41K-$72K (Glassdoor est.),3.1,"C Space
3.1","Boston, MA","Boston, MA",201 - 500 ,1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),"IDEO, Gongos, Inc., Ipsos",0,0,41,72,56.5,C Space,MA,22,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
68,Data Scientist,$96K-$161K (Glassdoor est.),3.2,"Numeric, LLC
3.2","Philadelphia, PA","Chadds Ford, PA",Jan-50,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,0,0,96,161,128.5,"Numeric, LLC",PA,-1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na
69,R&D Data Analysis Scientist,$65K-$130K (Glassdoor est.),4,"HP Inc.
4.0","Vancouver, WA","Palo Alto, CA",10000+ ,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,65,130,97.5,HP Inc.,WA,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M
70,Analytics Consultant,$52K-$81K (Glassdoor est.),4.4,"SpringML
4.4","Indianapolis, IN","Pleasanton, CA",Jan-50,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,52,81,66.5,SpringML,IN,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data analitics,na,na
71,"Director, Data Science",$139K-$220K (Glassdoor est.),3.6,"Grainger
3.6","Lake Forest, IL","Lake Forest, IL",10000+ ,1927,Company - Public,Wholesale,Business Services,$10+ billion (USD),-1,0,0,139,220,179.5,Grainger,IL,94,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
72,Scientist,$50K-$102K (Glassdoor est.),2.7,"EAG Laboratories
2.7","Maryland Heights, MO","San Diego, CA",501 - 1000 ,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),-1,0,0,50,102,76,EAG Laboratories,MO,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P
73,Data Scientist SR,$85K-$139K (Glassdoor est.),3.9,"The Buffalo Group
3.9","Charlottesville, VA","Reston, VA",501 - 1000 ,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",0,0,85,139,112,The Buffalo Group,VA,11,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,sr,M
